Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
3332,https://www.swiggy.com/restaurants/the-purple-pan-d-block-rajajinagar-bangalore-3332,The Purple Pan,4,₹400 FOR TWO,"Mughlai, North Indian, Chinese, Arabian, Biryani, Tandoor"
37027,https://www.swiggy.com/restaurants/7-plates-benson-cross-road-frazer-town-bangalore-37027,7 Plates,4.2,₹350 FOR TWO,"Biryani, Chinese, North Indian"
648545,https://www.swiggy.com/restaurants/aramane-donne-biriyani-margosa-rd-malleshwaram-bangalore-648545,Aramane Donne Biriyani,--,₹399 FOR TWO,"Biryani, Indian"
1371,https://www.swiggy.com/restaurants/hotel-savitha-family-restaurant-4th-block-koramangala-bangalore-1371,Hotel Savitha Family Restaurant,3.9,₹150 FOR TWO,"North Indian, South Indian, Biryani, Chinese, Indian, Tandoor, Beverages"
684427,https://www.swiggy.com/restaurants/cafe-amudham-lalbhagh-siddapura-jayanagar-bangalore-684427,Cafe Amudham,4.6,₹400 FOR TWO,"South Indian, Snacks"
17167,https://www.swiggy.com/restaurants/the-punjabi-rasoi-100-feet-road-indiranagar-bangalore-17167,The Punjabi Rasoi,4.3,₹800 FOR TWO,North Indian
639122,https://www.swiggy.com/restaurants/namaste-sampige-road-malleshwaram-bangalore-639122,Namaste,4.1,₹100 FOR TWO,"South Indian, Thalis, Snacks, Biryani, Indian, Chinese, Desserts, Beverages"
61983,https://www.swiggy.com/restaurants/rajathadri-food-fort-7th-block-jayanagar-bangalore-61983,Rajathadri Food Fort,4.3,₹350 FOR TWO,"Chinese, South Indian, North Indian, Desserts"
63048,https://www.swiggy.com/restaurants/sharief-bhai-frazer-town-bangalore-63048,Sharief Bhai,4.2,₹400 FOR TWO,"Mughlai, Biryani, Arabian, Kebabs, Beverages, Desserts"
28570,https://www.swiggy.com/restaurants/royal-treat-5th-block-koramangala-bangalore-28570,Royal Treat,4.1,₹193 FOR TWO,"Biryani, Mughlai, Seafood, North Indian"
29673,https://www.swiggy.com/restaurants/natural-ice-cream-ashok-nagar-st-marks-road-bangalore-29673,Natural Ice Cream,4.6,₹150 FOR TWO,"Ice Cream, Desserts"
35188,https://www.swiggy.com/restaurants/savoury-seashell-restaurant-bhavani-layout-bannerghatta-main-road-bangalore-35188,Savoury Seashell Restaurant,4,₹450 FOR TWO,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala"
40098,https://www.swiggy.com/restaurants/thottathil-restaurant-maruti-nagar-btm-layout-bangalore-40098,Thottathil Restaurant,3.8,₹200 FOR TWO,South Indian
146304,https://www.swiggy.com/restaurants/hyderabad-biryaani-house-victoria-road-ashok-nagar-bangalore-146304,Hyderabad Biryaani House,4.1,₹499 FOR TWO,Indian
92384,https://www.swiggy.com/restaurants/ambur-star-briyani-since-1890-2nd-stage-indiranagar-bangalore-92384,Ambur Star Briyani Since 1890,4.3,₹600 FOR TWO,"Biryani, Chettinad, Andhra, Beverages, Seafood"
30034,https://www.swiggy.com/restaurants/manis-dum-biryani-haudin-road-ulsoor-bangalore-30034,Mani's Dum Biryani,4.3,₹499 FOR TWO,Biryani
58103,https://www.swiggy.com/restaurants/sahanas-nati-style-wilson-garden-austin-town-bangalore-58103,Sahana's (Nati Style),4,₹200 FOR TWO,"South Indian, Biryani, Chinese"
8766,https://www.swiggy.com/restaurants/beijing-bites-richmond-town-richmond-road-bangalore-8766,Beijing Bites,4.1,₹450 FOR TWO,Chinese
448116,https://www.swiggy.com/restaurants/the-bowl-company-akkithimanahalli-shanti-nagar-bangalore-448116,The Bowl Company,4.4,₹300 FOR TWO,"Pan-Asian, Continental, North Indian, Desserts, American, Asian, Beverages, Biry..."
251194,https://www.swiggy.com/restaurants/chickpet-donne-biriyani-house-7th-block-koramangala-bangalore-251194,Chickpet donne biriyani house,3.9,₹250 FOR TWO,Biryani
655141,https://www.swiggy.com/restaurants/onesta-sampige-road-malleshwaram-bangalore-655141,Onesta,3.7,₹200 FOR TWO,"Italian, Desserts, Pizzas"
455002,https://www.swiggy.com/restaurants/chicking-binnipete-rajajinagar-bangalore-455002,Chicking,4.1,₹500 FOR TWO,"American, Grill, Fast Food, Snacks, Pizzas, Mexican, Beverages"
123985,https://www.swiggy.com/restaurants/hyderabad-biryani-hotel-sampige-road-malleshwaram-bangalore-123985,Hyderabad Biryani Hotel,4.3,₹500 FOR TWO,"Biryani, Chinese, Hyderabadi, Andhra, North Indian"
3434,https://www.swiggy.com/restaurants/nandhini-deluxe-ashok-nagar-st-marks-road-bangalore-3434,Nandhini Deluxe,4.2,₹500 FOR TWO,"Andhra, Biryani, Chinese, North Indian"
716666,https://www.swiggy.com/restaurants/new-kadai-restaurant-b-b-m-p-west-rajajinagar-bangalore-716666,New Kadai Restaurant,--,₹250 FOR TWO,"North Indian, Biryani, Seafood, Snacks"
80517,https://www.swiggy.com/restaurants/savoury-restaurant-mosque-road-frazer-town-bangalore-80517,Savoury Restaurant,4.3,₹450 FOR TWO,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala"
5893,https://www.swiggy.com/restaurants/polar-bear-ice-cream-sundaes-kavilakshmisha-road-basavanagudi-bangalore-5893,Polar Bear Ice Cream Sundaes,4.5,₹300 FOR TWO,"Ice Cream, Desserts"
170539,https://www.swiggy.com/restaurants/donne-biryani-adda-appareddy-palya-indiranagar-bangalore-170539,Donne Biryani Adda,3.2,₹200 FOR TWO,"Biryani, South Indian, Desserts, Beverages"
31765,https://www.swiggy.com/restaurants/donne-biriyani-angadi-mane-bashyam-circle-malleshwaram-bangalore-31765,Donne Biriyani Angadi Mane,3.8,₹300 FOR TWO,"Biryani, South Indian"
429712,https://www.swiggy.com/restaurants/le-arabia-restaurant-koramangala-bangalore-429712,Le Arabia Restaurant,3.7,₹400 FOR TWO,"Arabian, North Indian, Chinese, Beverages, Ice Cream"
3454,https://www.swiggy.com/restaurants/lazeez-5th-block-koramangala-bangalore-3454,Lazeez,4.2,₹500 FOR TWO,"North Indian, Mughlai"
86443,https://www.swiggy.com/restaurants/nic-ice-creams-pulikeshi-nagar-frazer-town-bangalore-86443,NIC Ice Creams,4.6,₹120 FOR TWO,"Ice Cream, Desserts"
570511,https://www.swiggy.com/restaurants/bakingo-mv-jayanthi-road-vasanth-nagar-bangalore-570511,Bakingo,4.4,₹299 FOR TWO,"Bakery, Desserts, Beverages, Snacks"
115437,https://www.swiggy.com/restaurants/karnataka-biryani-point-ln-puram-rajajinagar-bangalore-115437,Karnataka biryani point,4,₹250 FOR TWO,"Biryani, Kebabs, Grill"
396753,https://www.swiggy.com/restaurants/wendys-kmk-towers-residency-road-bangalore-396753,Wendy's,4,₹200 FOR TWO,"Fast Food, Snacks, American, Burgers, Desserts, Beverages"
197238,https://www.swiggy.com/restaurants/the-belgian-waffle-co-sri-vasavi-temple-street-basavanagudi-bangalore-197238,The Belgian Waffle Co.,4.3,₹200 FOR TWO,"Waffle, Desserts, Ice Cream, Beverages"
285175,https://www.swiggy.com/restaurants/thalairaj-biryani-2nd-stage-indiranagar-bangalore-285175,Thalairaj Biryani,4.2,₹300 FOR TWO,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Combo, Beverages"
2824,https://www.swiggy.com/restaurants/fanoos-johnson-market-richmond-road-bangalore-2824,Fanoos,4,₹300 FOR TWO,"Biryani, Tandoor, Kebabs, Barbecue"
492159,https://www.swiggy.com/restaurants/roti-walaa-5th-block-koramangala-bangalore-492159,Roti Walaa,4.2,₹200 FOR TWO,"Home Food, North Indian, Thalis"
705282,https://www.swiggy.com/restaurants/shree-krishna-vaibhava-opp-veeresha-theater-magadi-main-road-vijayanagar-bangalore-705282,Shree Krishna Vaibhava,3.7,₹100 FOR TWO,Indian
446562,https://www.swiggy.com/restaurants/dairy-day-ice-creams-narayanappa-garden-btm-layout-bangalore-446562,Dairy Day Ice Creams,4.6,₹200 FOR TWO,"Ice Cream, Desserts"
12808,https://www.swiggy.com/restaurants/a2b-adyar-ananda-bhavan-wilson-garden-shanti-nagar-bangalore-12808,A2B - Adyar Ananda Bhavan,4.4,₹300 FOR TWO,"South Indian, North Indian, Sweets, Chinese"
102324,https://www.swiggy.com/restaurants/kapoors-cafe-3rd-block-jayanagar-bangalore-102324,Kapoor's Cafe,4.3,₹500 FOR TWO,North Indian
163604,https://www.swiggy.com/restaurants/tomba-kitchen-vivek-nagar-ejipura-bangalore-163604,Tomba kitchen,4.3,₹300 FOR TWO,Chinese
345281,https://www.swiggy.com/restaurants/abubakar-siddiq-hotel-mohammedan-block-malleswaram-bangalore-345281,Abubakar Siddiq Hotel,4.3,₹300 FOR TWO,"Indian, Chinese"
448238,https://www.swiggy.com/restaurants/homely-akkithimanahalli-shanti-nagar-bangalore-448238,Homely,4.4,₹200 FOR TWO,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis"
440897,https://www.swiggy.com/restaurants/rnr-biryani-taste-of-1953-4th-block-jayanagar-bangalore-440897,RNR Biryani - Taste of 1953,4.3,₹350 FOR TWO,"Biryani, South Indian, Kebabs, Beverages, Desserts"
132622,https://www.swiggy.com/restaurants/marwadi-chaat-and-tiffin-services-shanti-nagar-lakshmi-road-shanthi-nagar-bangalore-132622,Marwadi Chaat & Tiffin Services Shanti nagar,3.7,₹300 FOR TWO,"Rajasthani, North Indian, Snacks, Chaat"
393840,https://www.swiggy.com/restaurants/chinese-wok-chikka-lakshmaiah-layout-adugodi-bangalore-393840,Chinese Wok,3.8,₹250 FOR TWO,"Chinese, Asian, Tibetan, Desserts"
